P100ID01,WST_2007,WST_2009
69602,2.111111111,2.111111111
69902,2,2
71702,3.444444444,3
72003,2.777777778,2.666666667
72601,2.111111111,2.444444444
73102,3.777777778,2.222222222
73402,3.444444444,2.666666667
73602,3.444444444,2.777777778
73801,2.444444444,2.888888889
75102,3,3.111111111
75301,2.111111111,4
75502,3.333333333,4
76102,3,3
76401,3.666666667,3.555555556
76702,2.555555556,2.444444444
77001,3,3.222222222
77102,3.777777778,3.666666667
77701,2.888888889,2.666666667
77801,2.888888889,3.111111111
78302,3.444444444,3.555555556
78802,2,1.666666667
78902,2.444444444,2
79502,4,2
79602,3.444444444,3
80202,2.444444444,2
80501,3,2.444444444
80701,2.111111111,2
80802,2.222222222,3
81402,4.666666667,3.111111111
82403,2.555555556,2.555555556
82801,2.333333333,2.333333333
83002,2.666666667,2.222222222
83102,2.333333333,2.222222222
83802,2.444444444,2.666666667
84502,3,2.888888889
85002,1.888888889,2
85102,3,2.222222222
85502,2.222222222,1.888888889
85602,2.444444444,2.777777778
85702,3.444444444,3
86502,2.333333333,2
87402,2.444444444,2.666666667
87503,3.111111111,3
87703,3.333333333,2.888888889
88901,2.777777778,2.555555556
89302,3.888888889,3.555555556
89304,3.111111111,3
89403,3,2.333333333
90001,2.777777778,2.777777778
90202,2.777777778,1.222222222
90301,3,2.555555556
90305,1.888888889,2
90702,2.444444444,2.111111111
91101,3.444444444,2.444444444
91902,3.333333333,3.444444444
92001,1.111111111,3
93302,1.111111111,2
94902,3.777777778,3
95002,3.111111111,2.888888889
95301,2.888888889,3
95402,2.555555556,3
95601,3.111111111,3
96002,2,3
96302,1.888888889,3
96701,3.111111111,3
96902,3.111111111,3
97302,1.666666667,3
97402,2.222222222,3
97901,3.222222222,3
98001,3.444444444,3.111111111
98502,3,3
99702,2,3
100901,1.777777778,3.777777778
101202,3,3
101302,2.444444444,3
102402,2,1
103802,3.444444444,2.666666667
104702,2.888888889,1
106002,2,1
106902,1.888888889,3
107402,3.333333333,2.888888889
108001,3.444444444,3.777777778
110101,3.555555556,3
110102,4.111111111,2.222222222
110502,3,3.666666667
110802,3.444444444,2.666666667
111002,2.444444444,1
111202,3.555555556,2.444444444
111401,3.222222222,3.555555556
112202,1,2
112903,2.222222222,2.222222222
113003,3.666666667,3
113202,3.666666667,3
113203,3,3.222222222
113402,2.111111111,2.222222222
113901,3,2.222222222
114002,4,3.777777778
114102,4,3.555555556
114502,3.444444444,3
114802,2.666666667,2.777777778
115001,2.777777778,2.555555556
115002,2.444444444,2
115302,4.666666667,3.666666667
115601,2.555555556,2.333333333
116502,2.444444444,3.333333333
116701,2.444444444,3.333333333
116802,3.333333333,3.333333333
116901,1.777777778,2.888888889
117102,2.333333333,2.888888889
117602,3.333333333,3
118304,2.555555556,2.888888889
118502,3.777777778,3.333333333
118702,3.333333333,3.555555556
118902,3.666666667,3.666666667
118904,3.111111111,2.555555556
119002,4,3.444444444
119301,3.111111111,3.444444444
119402,3.222222222,3.222222222
119602,3.333333333,4
119702,3.222222222,3.444444444
119802,3,3.222222222
119902,3.555555556,3.111111111
120001,3.222222222,3.555555556
120102,4.111111111,4
120202,3,3
120802,4,4
120902,3.444444444,3.444444444
121002,1.888888889,3.888888889
122401,3,3.777777778
122502,4.666666667,4.111111111
123101,3.888888889,2.111111111
123202,1.555555556,2.222222222
123602,3.333333333,1.888888889
123902,3,3
124002,1.888888889,4
124102,3.444444444,3.666666667
124503,2.777777778,3.777777778
124601,3,2.777777778
124702,2.444444444,2.888888889
125001,2.555555556,2.444444444
125202,2,2.111111111
125402,2.666666667,2.333333333
125802,3.333333333,3.222222222
126003,2.444444444,2.333333333
126202,3.666666667,3.333333333
126302,3.777777778,1.888888889
126402,1.333333333,2.222222222
126502,3.555555556,2.555555556
126602,4,4.555555556
126702,2,3
128702,2.444444444,3
130102,3.111111111,3
130202,3,3
130302,3.333333333,3.111111111
130402,3,3
130501,3.111111111,3.111111111
130604,3.111111111,3.111111111
131002,3.111111111,3.333333333
132002,2.777777778,2.777777778
132202,3,2.666666667
132302,3.222222222,1.777777778
132701,3.888888889,3.888888889
